movie_id,title,genres,cast,crew,keywords
949,Heat,"Action,Crime,Drama,Thriller","Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,Tom Sizemore,Diane Venora,Amy Brenneman,Ashley Judd,Mykelti Williamson,Natalie Portman,Ted Levine,Tom Noonan,Tone Loc,Hank Azaria,Wes Studi,Dennis Haysbert,Danny Trejo,Henry Rollins,William Fichtner,Kevin Gage,Susan Traylor,Jerry Trimble,Ricky Harris,Jeremy Piven,Xander Berkeley,Begonya Plaza,Rick Avery,Hazelle Goodman,Ray Buktenica,Max Daniels,Vince Deadrick Jr.,Steven Ford","Michael Mann,Cate Hardman,Michael Waxman","robbery,detective,bank,obsession,chase,shooting,thief,honor,murder,suspense,heist,betrayal,money,gang,cat and mouse,criminal mastermind,cult film,ex-con,heist movie,one last job,loner,bank job,neo-noir,gun fight,crime epic"
710,GoldenEye,"Adventure,Action,Thriller","Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen,Joe Don Baker,Judi Dench,Gottfried John,Robbie Coltrane,Alan Cumming,Tchéky Karyo","Martin Campbell,June Randall","cuba,falsely accused,secret identity,computer virus,secret base,secret intelligence service,kgb,satellite,special car,cossack,electromagnetic pulse,time bomb,st. petersburg russia,ejection seat,red army"
1408,Cutthroat Island,"Action,Adventure","Geena Davis,Matthew Modine,Frank Langella,Maury Chaykin,Patrick Malahide,Stan Shaw,Rex Linn,Paul Dillon,Christopher Masterson,Jimmie F. Skaggs,Harris Yulin,Carl Chase,Peter Geeves,Angus Wright,Ken Bones",Renny Harlin,"exotic island,treasure,map,ship,scalp,pirate"
524,Casino,"Drama,Crime","Robert De Niro,Sharon Stone,Joe Pesci,James Woods,Don Rickles,Alan King,Kevin Pollak,Pasquale Cajano,L.Q. Jones,Dick Smothers,Frank Vincent,Oscar Goodman,Richard Riehle,Catherine Scorsese,Vinny Vella,Nobu Matsuhisa,Erika von Tagen,Nick Mazzola,David Rose,John Bloom,Joseph Rigano,Philip Suriano",Martin Scorsese,"poker,drug abuse,1970s,overdose,illegal prostitution"
4584,Sense and Sensibility,"Drama,Romance","Kate Winslet,Emma Thompson,Hugh Grant,Tom Wilkinson,Alan Rickman,Imogen Stubbs,Greg Wise,Hugh Laurie",Ang Lee,"bowling,based on novel,servant,country life,jane austen,inheritance,military officer,period drama,rainstorm,horse and carriage,decorum"
5,Four Rooms,"Crime,Comedy","Tim Roth,Antonio Banderas,Jennifer Beals,Madonna,Marisa Tomei,Bruce Willis,Quentin Tarantino,Sammi Davis,Amanda de Cadenet,Valeria Golino,Lili Taylor,Lawrence Bender","Allison Anders,Alexandre Rockwell,Robert Rodriguez,Quentin Tarantino,Douglas Aarniokoski,Fernando Altschul,Jayne-Ann Tenggren","hotel,new year's eve,witch,bet,hotel room,sperm,los angeles,hoodlum,woman director,episode film"
8012,Get Shorty,"Comedy,Thriller,Crime","John Travolta,Gene Hackman,Rene Russo,Danny DeVito,Dennis Farina,Delroy Lindo,James Gandolfini,Jon Gries",Barry Sonnenfeld,"gambling,miami,based on novel,job,murder,travel,mafia,money,debt,mobster,business,hollywood,gangster,crime,violence,drug,producer,con"
451,Leaving Las Vegas,"Drama,Romance","Nicolas Cage,Elisabeth Shue,Julian Sands,Richard Lewis,Steven Weber,Kim Adams,Emily Procter",Mike Figgis,"individual,prostitute,alcohol,casino,love at first sight,lovesickness,film producer,screenwriter,hotel room,dying and death,rage and hate,unsociability,alcoholism,los angeles,alcohol abuse,attempted suicide"
902,The City of Lost Children,"Fantasy,Science Fiction,Adventure","Ron Perlman,Dominique Pinon,Judith Vittet,Daniel Emilfork,Jean-Claude Dreyfus,Geneviève Brunet,Odile Mallet,Mireille Mossé,Serge Merlin,Rufus,Ticky Holgado,Cris Huerta,Jean-Louis Trintignant,Joseph Lucien,Mapi Galán,Briac Barthélémy,Pierre-Quentin Faesch,Alexis Pivot","Jean-Pierre Jeunet,Marc Caro","clone,dream,island,eye,dystopia,aging,friendship,rescue,children,girl,childhood"
63,Twelve Monkeys,"Science Fiction,Thriller,Mystery","Bruce Willis,Madeleine Stowe,Brad Pitt,Christopher Plummer,David Morse,Jon Seda,Frank Gorshin,Joseph Melito,Aaron Michael Lacey,Christopher Meloni,Joey Perillo,LisaGay Hamilton,Matt Ross,Annie Golden,Michael Chance,Vernon Campbell,H. Michael Walls,Bob Adrian,Simon Jones,Carol Florence,Bill Raymond,Ernest Abuba,Irma St. Paule,Rozwill Young,Nell Johnson,Frederick Strother,Charles Techman,Rick Warner,Anthony 'Chip' Brienza,Bruce Kirkpatrick,Wilfred Williams,Joilet Harris","Terry Gilliam,Marilyn Bailey,Mark Egerton,Andrew Bernstein","schizophrenia,philadelphia,cassandra syndrom,stockholm syndrome,time travel,post-apocalyptic,dystopia,lethal virus,monkey,subterranean"
